Categoria,Item,Especificação,Qtd,Unidade,Base técnica,Observações
Frame,Perfil alumínio 2020,2020 500 mm,4,un,Voron Trident 350 BOM / R2 delta,
Frame,Perfil alumínio 2020,2020 470 mm,9,un,Voron Trident 350 BOM / R2 delta,
Frame,Perfil alumínio 2020,2020 470 mm c/ furação AH235,1,un,Voron Trident 350 BOM / R2 delta,
Frame,Perfil alumínio 2020,2020 330 mm,1,un,Voron Trident 350 BOM / R2 delta,
Frame,Perfil alumínio 2020,2020 470 mm c/ AH235,1,un,Voron Trident 350 BOM / R2 delta,
Frame,Perfil alumínio 2020,2020 332 mm,1,un,Voron Trident 350 BOM / R2 delta,
Frame,Perfil alumínio 2020,2020 340 mm,1,un,Voron Trident 350 BOM / R2 delta,
Frame,Perfil alumínio 2020,2020 430 mm,1,un,Voron Trident 350 BOM / R2 delta,
Frame,Trilho DIN,35 mm x 420 mm,2,un,Voron Trident 350 BOM / R2 delta,
Panels,Painel Coroplast/PP,469x469x4 mm,2,un,Voron Trident 350 BOM / R2 delta,
Panels,Painel Coroplast/PP,482x472x4 mm,1,un,Voron Trident 350 BOM / R2 delta,
Panels,Acrílico/Policarbonato transparente,241.5x473x3 mm,2,un,Voron Trident 350 BOM / R2 delta,
Panels,Acrílico/Policarbonato transparente,483x473x3 mm,2,un,Voron Trident 350 BOM / R2 delta,
Panels,Acrílico/Policarbonato transparente,483x483x3 mm,1,un,Voron Trident 350 BOM / R2 delta,
Motion,Polia GT2 20T,"5 mm bore, 6 mm belt",3,un,Voron Trident 350 BOM / R2 delta,
Motion,Idler GT2 20T,"toothed, 5 mm bore, 6 mm belt",2,un,Voron Trident 350 BOM / R2 delta,
Motion,Rolamento F695,flangeado,20,un,Voron Trident 350 BOM / R2 delta,
Motion,Rolamento esférico GE5C,5 mm,3,un,Voron Trident 350 BOM / R2 delta,
Motion,Eixo 5x30 mm,aço,1,un,Voron Trident 350 BOM / R2 delta,
Motion,Trilho linear MGN12H,350 mm,1,un,Voron Trident 350 BOM / R2 delta,
Motion,Trilho linear MGN9H,350 mm,2,un,Voron Trident 350 BOM / R2 delta,
Motion,Trilho linear MGN9H,300 mm,3,un,Voron Trident 350 BOM / R2 delta,
Motion,Correia GT2 aberta,"Gates LL-2GT-6, 6 mm; comprar 8 m para sobra e R2",1,un,Voron Trident 350 BOM / R2 delta,
Vibration,Pé de borracha,antivibração,4,un,Voron Trident 350 BOM / R2 delta,
Buildplate,Chapa MIC6,350x350x8 mm,1,un,Voron Trident 350 BOM / R2 delta,
Buildplate,Chapa mola PEI,350x350 mm dupla face,1,un,Voron Trident 350 BOM / R2 delta,
Buildplate,Base magnética,350x350 mm alta temperatura,1,un,Voron Trident 350 BOM / R2 delta,
Buildplate,Heater silicone AC,"300x300 mm, 220 V, ~650 W, termistor",1,un,Voron Trident 350 BOM / R2 delta,
Buildplate,Fusível térmico,125–150 °C para cama AC,1,un,Voron Trident 350 BOM / R2 delta,
Buildplate,SSR,"SSR AC de marca confiável, >=25 A",1,un,Voron Trident 350 BOM / R2 delta,
Buildplate,Suporte DIN para SSR,compatível,1,un,Voron Trident 350 BOM / R2 delta,
Electronics,Motor XY NEMA17,"~48 mm, 1.8°, eixo longo compatível R2",2,un,Voron Trident 350 BOM / R2 delta,
Electronics,Motor Z com fuso,"NEMA17 + TR8x4, 300–320 mm",3,un,Voron Trident 350 BOM / R2 delta,
Electronics,Motor extrusor NEMA14,"Sherpa Mini V2, pancake",1,un,Voron Trident 350 BOM / R2 delta,
Electronics,MCU,BIGTREETECH Octopus Pro,1,un,Voron Trident 350 BOM / R2 delta,
Electronics,Driver XY,BIGTREETECH TMC5160 Pro,2,un,Voron Trident 350 BOM / R2 delta,
Electronics,Driver Z/E,BIGTREETECH TMC2209,4,un,Voron Trident 350 BOM / R2 delta,
Electronics,Probe,BIGTREETECH Eddy USB,1,un,Voron Trident 350 BOM / R2 delta,
Electronics,Fonte 24 V,Mean Well LRS-200-24 ou equivalente de qualidade,1,un,Voron Trident 350 BOM / R2 delta,
Electronics,Entrada IEC,com fusível e chave,1,un,Voron Trident 350 BOM / R2 delta,
Electronics,Ventoinha eletrônica,60x60x20 24 V,3,un,Voron Trident 350 BOM / R2 delta,
Electronics,Host Klipper,Xeon existente,1,un,Custom,Custo de compra = R$0
Electronics,Cabo USB,"blindado, Octopus ↔ host",1,un,Voron Trident 350 BOM / R2 delta,
Electronics,Cabo USB,"blindado, Eddy USB ↔ host",1,un,Voron Trident 350 BOM / R2 delta,
Toolhead,Extrusor,Sherpa Mini V2,1,un,Voron Trident 350 BOM / R2 delta,
Toolhead,Hotend,cerâmico high-flow compatível toolhead Voron,1,un,Voron Trident 350 BOM / R2 delta,
Toolhead,Nozzle,"0,6 mm aço endurecido / hardened",1,un,Voron Trident 350 BOM / R2 delta,
Toolhead,Fan hotend,4010 24 V,1,un,Voron Trident 350 BOM / R2 delta,
Toolhead,Blower part cooling,4020/5015 24 V conforme toolhead,1,un,Voron Trident 350 BOM / R2 delta,
Toolhead,PTFE,2 mm ID / 4 mm OD,2,m,Voron Trident 350 BOM / R2 delta,
Toolhead,LED RGB,toolhead/status,1,un,Voron Trident 350 BOM / R2 delta,
Air,Filtro recirculante,Nevermore Micro ou equivalente impresso,1,kit,Custom,
Air,Carvão ativado,"pellets adequados para impressora 3D, sem ácido",1,kg,Custom,
Air,Filtro HEPA,módulo compacto para exaustão,1,kit,Custom,
Air,Fan filtro,5015/6020 24 V conforme carcaça,2,un,Custom,
Filament,Dry box aquecida,caixa selada 1–2 rolos,1,kit,Custom,
Filament,Aquecedor PTC,"24 V, 80–150 W",1,un,Custom,
Filament,Fan dry box,24 V,1,un,Custom,
Filament,Sensor temp/umidade,SHT31/SHT35,1,un,Custom,
Filament,Sílica gel reutilizável,"indicadora, 500 g",1,pct,Custom,
Filament,Passa-filamento,PC4-M10 + PTFE,2,kit,Custom,
Filament,Termostato/controlador,digital ou ESP32 dedicado,1,un,Custom,
Cables,Abraçadeiras nylon,100 mm,50,un,Voron Trident 350 BOM / R2 delta,
Cables,Fio silicone,24 AWG,30,m,Voron Trident 350 BOM / R2 delta,
Cables,Fio alimentação,18 AWG,5,m,Voron Trident 350 BOM / R2 delta,
Cables,Fio cama AC,silicone 1.5–2.5 mm²,3,m,Voron Trident 350 BOM / R2 delta,
Cables,Fio terra,verde/amarelo 1.5–2.5 mm²,3,m,Voron Trident 350 BOM / R2 delta,
Cables,Kit JST-XH/PH,conectores + terminais,1,kit,Voron Trident 350 BOM / R2 delta,
Cables,WAGO 221-412,2 vias,4,un,Voron Trident 350 BOM / R2 delta,
Cables,WAGO 221-415,5 vias,4,un,Voron Trident 350 BOM / R2 delta,
Cables,Corrente porta-cabos,10x11 mm,3,m,Voron Trident 350 BOM / R2 delta,
Cables,Fita VHB,3M 5952 ou equivalente,1,rolo,Voron Trident 350 BOM / R2 delta,
Cables,Espuma vedação,1 mm x 5 m,1,rolo,Voron Trident 350 BOM / R2 delta,
Cables,Espuma vedação,3 mm x 5 m,1,rolo,Voron Trident 350 BOM / R2 delta,
Cables,Ímã neodímio,6x3 mm,8,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M5x40 SHCS,classe 10.9/inox conforme aplicação,12,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M5x30 BHCS,classe 10.9/inox conforme aplicação,8,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M5x16 BHCS,classe 10.9/inox conforme aplicação,30,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M5x10 BHCS,classe 10.9/inox conforme aplicação,58,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M5 spacer 1 mm,classe 10.9/inox conforme aplicação,24,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M5 roll-in T-nut,classe 10.9/inox conforme aplicação,76,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M4x6 BHCS,classe 10.9/inox conforme aplicação,8,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M4 knurled nut,classe 10.9/inox conforme aplicação,4,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M3x40 SHCS,classe 10.9/inox conforme aplicação,8,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M3x30 SHCS,classe 10.9/inox conforme aplicação,23,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M3x20 SHCS,classe 10.9/inox conforme aplicação,10,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M3x16 SHCS,classe 10.9/inox conforme aplicação,17,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M3x12 SHCS,classe 10.9/inox conforme aplicação,69,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M3x8 SHCS,classe 10.9/inox conforme aplicação,170,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M3x6 BHCS,classe 10.9/inox conforme aplicação,36,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M3x12 FHCS,classe 10.9/inox conforme aplicação,12,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M3x6 FHCS,classe 10.9/inox conforme aplicação,15,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M3 hex nut,classe 10.9/inox conforme aplicação,5,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M3 locknut,classe 10.9/inox conforme aplicação,10,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M3 washer,classe 10.9/inox conforme aplicação,5,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M3 roll-in T-nut,classe 10.9/inox conforme aplicação,95,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M3 hammer T-nut,classe 10.9/inox conforme aplicação,70,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M3 heat-set insert M3x5x4,classe 10.9/inox conforme aplicação,75,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M2x10 self tapping,classe 10.9/inox conforme aplicação,22,un,Voron Trident 350 BOM / R2 delta,
Fasteners,M5 heat-set insert,R2 substitui M5 hex nuts em pontos revisados,20,un,R2 delta,Comprar sobra; quantidade exata pode variar por toolhead/mod.
Printed,Filamento estrutural,"ABS/ASA, cor principal",1.5,kg,Voron Trident 350 BOM / R2 delta,
Printed,Filamento accent,ABS/ASA,0.4,kg,Voron Trident 350 BOM / R2 delta,
Project,Peças impressas R2,STLs oficiais Trident R2 + peças custom,1,set,Voron Trident 350 BOM / R2 delta,
Project,CAD/DXF,Voron Trident R2 350,1,set,Voron Trident 350 BOM / R2 delta,
Project,Firmware,Klipper + Moonraker + Mainsail,1,set,Voron Trident 350 BOM / R2 delta,
