Categoria,Item,Especificação,Qtd,Unidade,Base técnica,Observações,Preço unitário (R$),Subtotal (R$),Origem compra,Status preço,Link / referência,Nota orçamento
Frame,Perfil alumínio 2020,2020 500 mm,4,un,Voron Trident 350 BOM / R2 delta,,30.9,123.6,Brasil,Cotado/Proporcional,https://lista.mercadolivre.com.br/perfil-2020-aluminio,"Base em perfil 2020 de 500 mm a ~R$30,90; corte/furação podem acrescentar custo."
Frame,Perfil alumínio 2020,2020 470 mm,9,un,Voron Trident 350 BOM / R2 delta,,29.05,261.41,Brasil,Cotado/Proporcional,https://lista.mercadolivre.com.br/perfil-2020-aluminio,"Base em perfil 2020 de 500 mm a ~R$30,90; corte/furação podem acrescentar custo."
Frame,Perfil alumínio 2020,2020 470 mm c/ furação AH235,1,un,Voron Trident 350 BOM / R2 delta,,29.05,29.05,Brasil,Cotado/Proporcional,https://lista.mercadolivre.com.br/perfil-2020-aluminio,"Base em perfil 2020 de 500 mm a ~R$30,90; corte/furação podem acrescentar custo."
Frame,Perfil alumínio 2020,2020 330 mm,1,un,Voron Trident 350 BOM / R2 delta,,20.39,20.39,Brasil,Cotado/Proporcional,https://lista.mercadolivre.com.br/perfil-2020-aluminio,"Base em perfil 2020 de 500 mm a ~R$30,90; corte/furação podem acrescentar custo."
Frame,Perfil alumínio 2020,2020 470 mm c/ AH235,1,un,Voron Trident 350 BOM / R2 delta,,29.05,29.05,Brasil,Cotado/Proporcional,https://lista.mercadolivre.com.br/perfil-2020-aluminio,"Base em perfil 2020 de 500 mm a ~R$30,90; corte/furação podem acrescentar custo."
Frame,Perfil alumínio 2020,2020 332 mm,1,un,Voron Trident 350 BOM / R2 delta,,20.52,20.52,Brasil,Cotado/Proporcional,https://lista.mercadolivre.com.br/perfil-2020-aluminio,"Base em perfil 2020 de 500 mm a ~R$30,90; corte/furação podem acrescentar custo."
Frame,Perfil alumínio 2020,2020 340 mm,1,un,Voron Trident 350 BOM / R2 delta,,21.01,21.01,Brasil,Cotado/Proporcional,https://lista.mercadolivre.com.br/perfil-2020-aluminio,"Base em perfil 2020 de 500 mm a ~R$30,90; corte/furação podem acrescentar custo."
Frame,Perfil alumínio 2020,2020 430 mm,1,un,Voron Trident 350 BOM / R2 delta,,26.57,26.57,Brasil,Cotado/Proporcional,https://lista.mercadolivre.com.br/perfil-2020-aluminio,"Base em perfil 2020 de 500 mm a ~R$30,90; corte/furação podem acrescentar custo."
Frame,Trilho DIN,35 mm x 420 mm,2,un,Voron Trident 350 BOM / R2 delta,,18,36.0,Brasil,Estimativa,,
Panels,Painel Coroplast/PP,469x469x4 mm,2,un,Voron Trident 350 BOM / R2 delta,,35,70.0,Brasil,Estimativa local,,Corte local.
Panels,Painel Coroplast/PP,482x472x4 mm,1,un,Voron Trident 350 BOM / R2 delta,,35,35.0,Brasil,Estimativa local,,Corte local.
Panels,Acrílico/Policarbonato transparente,241.5x473x3 mm,2,un,Voron Trident 350 BOM / R2 delta,,48,96.0,Brasil,Estimativa local,,Corte local em 3 mm.
